Video URL,Threshold,Ground Truth Peaks,AI Windows,Captured,Missed,Recall (%),Noise (%),Pruned (%)
https://www.youtube.com/watch?v=MoBkkw66NWY,0.5,9,8,7,2,77.8,50.0,32.4
https://www.youtube.com/watch?v=MoBkkw66NWY,0.6,9,7,5,4,55.6,71.4,67.8
https://www.youtube.com/watch?v=MoBkkw66NWY,0.7,9,4,2,7,22.2,75.0,83.9
https://www.youtube.com/watch?v=ewKEe8pL8_w,0.5,9,1,9,0,100.0,0.0,2.3
https://www.youtube.com/watch?v=ewKEe8pL8_w,0.6,9,3,8,1,88.9,33.3,7.1
https://www.youtube.com/watch?v=ewKEe8pL8_w,0.7,9,4,8,1,88.9,25.0,28.8
https://www.youtube.com/watch?v=wdGLOmdpq_k,0.5,9,1,9,0,100.0,0.0,1.2
https://www.youtube.com/watch?v=wdGLOmdpq_k,0.6,9,3,9,0,100.0,33.3,5.2
https://www.youtube.com/watch?v=wdGLOmdpq_k,0.7,9,4,5,4,55.6,50.0,34.7
https://www.youtube.com/watch?v=wQA68Oqr1qE,0.5,9,6,5,4,55.6,33.3,48.2
https://www.youtube.com/watch?v=wQA68Oqr1qE,0.6,9,3,2,7,22.2,66.7,78.3
https://www.youtube.com/watch?v=wQA68Oqr1qE,0.7,9,1,0,9,0.0,100.0,94.7
https://www.youtube.com/watch?v=EiL5bMvDkNA,0.5,9,6,8,1,88.9,66.7,12.0
https://www.youtube.com/watch?v=EiL5bMvDkNA,0.6,9,7,3,6,33.3,85.7,48.3
https://www.youtube.com/watch?v=EiL5bMvDkNA,0.7,9,5,3,6,33.3,80.0,67.6
https://www.youtube.com/watch?v=pjSxOnCkHIA,0.5,9,1,9,0,100.0,0.0,0.2
https://www.youtube.com/watch?v=pjSxOnCkHIA,0.6,9,2,9,0,100.0,0.0,5.8
https://www.youtube.com/watch?v=pjSxOnCkHIA,0.7,9,6,8,1,88.9,33.3,20.2
https://www.youtube.com/watch?v=IEfBBYmxtIo,0.5,9,15,6,3,66.7,60.0,53.2
https://www.youtube.com/watch?v=IEfBBYmxtIo,0.6,9,9,4,5,44.4,55.6,74.3
https://www.youtube.com/watch?v=IEfBBYmxtIo,0.7,9,6,3,6,33.3,50.0,84.4
https://www.youtube.com/watch?v=4Z-KLkjICoY,0.5,9,20,6,3,66.7,75.0,32.8
https://www.youtube.com/watch?v=4Z-KLkjICoY,0.6,9,9,2,7,22.2,77.8,71.0
https://www.youtube.com/watch?v=4Z-KLkjICoY,0.7,9,5,1,8,11.1,80.0,89.0
https://www.youtube.com/watch?v=5hHM3LdKcRY,0.5,9,6,9,0,100.0,16.7,6.0
https://www.youtube.com/watch?v=5hHM3LdKcRY,0.6,9,10,5,4,55.6,50.0,35.1
https://www.youtube.com/watch?v=5hHM3LdKcRY,0.7,9,10,4,5,44.4,60.0,57.9
https://www.youtube.com/watch?v=yZMFBsYyJL0,0.5,9,13,6,3,66.7,61.5,37.8
https://www.youtube.com/watch?v=yZMFBsYyJL0,0.6,9,8,5,4,55.6,50.0,67.8
https://www.youtube.com/watch?v=yZMFBsYyJL0,0.7,9,4,2,7,22.2,50.0,84.0
https://www.youtube.com/watch?v=igUiMu6sZm0,0.5,9,1,9,0,100.0,0.0,0.2
https://www.youtube.com/watch?v=igUiMu6sZm0,0.6,9,3,9,0,100.0,0.0,2.0
https://www.youtube.com/watch?v=igUiMu6sZm0,0.7,9,4,7,2,77.8,0.0,7.9
